,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
109,MEM,MEM vs. GSW,03/20/2021,W,240,111,37,95,38.9,10,32,31.3,27,31,87.1,13,47,60,25,8,5,12,22,8
110,GSW,GSW @ MEM,03/20/2021,L,240,103,31,90,34.4,13,41,31.7,28,34,82.4,7,39,46,23,8,7,12,25,-8
111,LAL,LAL vs. ATL,03/20/2021,L,240,94,34,81,42.0,8,26,30.8,18,24,75.0,13,39,52,18,6,3,16,16,-5
112,ATL,ATL @ LAL,03/20/2021,W,240,99,39,98,39.8,13,37,35.1,8,9,88.9,16,33,49,26,13,7,8,21,5
113,MIN,MIN @ PHX,03/19/2021,L,240,101,37,79,46.8,13,35,37.1,14,18,77.8,5,34,39,22,8,6,20,19,-12
114,PHX,PHX vs. MIN,03/19/2021,W,240,113,43,86,50.0,14,27,51.9,13,17,76.5,6,34,40,29,8,1,18,19,12
115,DAL,DAL @ POR,03/19/2021,L,240,119,44,81,54.3,19,42,45.2,12,13,92.3,5,34,39,25,4,4,12,16,-6
116,POR,POR vs. DAL,03/19/2021,W,240,125,44,93,47.3,22,47,46.8,15,17,88.2,13,30,43,17,5,0,6,15,6
117,DEN,DEN vs. CHI,03/19/2021,W,265,131,48,91,52.7,14,34,41.2,21,27,77.8,9,34,43,29,10,3,13,22,4
118,CHI,CHI @ DEN,03/19/2021,L,265,127,47,90,52.2,17,35,48.6,16,23,69.6,9,33,42,32,6,2,18,20,-4
119,UTA,UTA @ TOR,03/19/2021,W,240,115,34,74,45.9,12,37,32.4,35,41,85.4,9,39,48,21,7,5,13,16,3
120,TOR,TOR vs. UTA,03/19/2021,L,240,112,40,83,48.2,21,44,47.7,11,14,78.6,3,28,31,31,9,4,11,28,-3
121,DET,DET @ HOU,03/19/2021,W,240,113,37,85,43.5,14,29,48.3,25,28,89.3,12,37,49,28,7,4,13,17,13
122,HOU,HOU vs. DET,03/19/2021,L,240,100,39,88,44.3,9,32,28.1,13,16,81.3,7,31,38,21,7,4,15,17,-13
123,MEM,MEM vs. GSW,03/19/2021,L,240,103,39,84,46.4,8,26,30.8,17,21,81.0,9,37,46,24,10,6,21,17,-13
124,GSW,GSW @ MEM,03/19/2021,W,240,116,44,91,48.4,15,41,36.6,13,18,72.2,8,35,43,31,13,6,13,16,13
125,IND,IND @ MIA,03/19/2021,W,240,137,52,89,58.4,20,36,55.6,13,19,68.4,9,38,47,38,7,9,17,17,27
126,MIA,MIA vs. IND,03/19/2021,L,240,110,41,92,44.6,9,34,26.5,19,20,95.0,10,26,36,22,10,4,11,17,-27
127,BKN,BKN @ ORL,03/19/2021,L,240,113,43,91,47.3,10,37,27.0,17,23,73.9,9,30,39,24,9,3,8,16,-8
128,ORL,ORL vs. BKN,03/19/2021,W,240,121,43,84,51.2,21,40,52.5,14,20,70.0,8,36,44,26,4,1,17,20,8
129,SAS,SAS @ CLE,03/19/2021,W,240,116,41,88,46.6,7,18,38.9,27,33,81.8,17,34,51,19,5,4,13,25,6
130,CLE,CLE vs. SAS,03/19/2021,L,240,110,39,89,43.8,7,27,25.9,25,32,78.1,15,32,47,19,8,4,11,21,-6
131,BOS,BOS vs. SAC,03/19/2021,L,240,96,39,91,42.9,12,31,38.7,6,7,85.7,12,33,45,22,8,4,16,20,-11
132,SAC,SAC @ BOS,03/19/2021,W,240,107,37,81,45.7,12,30,40.0,21,26,80.8,11,34,45,22,6,9,14,16,11
133,LAL,LAL vs. CHA,03/18/2021,W,240,116,44,92,47.8,13,39,33.3,15,20,75.0,11,37,48,23,7,6,11,19,11
134,CHA,CHA @ LAL,03/18/2021,L,240,105,41,83,49.4,11,29,37.9,12,20,60.0,8,36,44,26,7,8,19,19,-11
135,PHX,PHX vs. MIN,03/18/2021,L,240,119,45,85,52.9,15,36,41.7,14,19,73.7,9,38,47,29,6,6,22,30,-4
136,MIN,MIN @ PHX,03/18/2021,W,240,123,44,93,47.3,11,34,32.4,24,35,68.6,11,27,38,22,14,4,12,16,4
137,POR,POR vs. NOP,03/18/2021,W,240,101,33,87,37.9,14,43,32.6,21,25,84.0,14,36,50,11,8,8,13,19,8
138,NOP,NOP @ POR,03/18/2021,L,240,93,33,83,39.8,10,37,27.0,17,25,68.0,10,34,44,24,6,5,13,19,-8
139,OKC,OKC @ ATL,03/18/2021,L,240,93,34,93,36.6,13,34,38.2,12,16,75.0,11,27,38,18,5,3,10,13,-23
140,ATL,ATL vs. OKC,03/18/2021,W,240,116,47,87,54.0,11,33,33.3,11,13,84.6,6,44,50,26,6,7,14,16,23
141,ORL,ORL @ NYK,03/18/2021,L,240,93,35,82,42.7,10,34,29.4,13,16,81.3,8,41,49,21,6,6,11,13,-1
142,NYK,NYK vs. ORL,03/18/2021,W,240,94,37,86,43.0,14,34,41.2,6,11,54.5,5,38,43,24,6,4,7,14,1
143,UTA,UTA @ WAS,03/18/2021,L,240,122,44,96,45.8,18,48,37.5,16,28,57.1,11,36,47,19,10,3,17,27,-9
144,WAS,WAS vs. UTA,03/18/2021,W,240,131,47,86,54.7,7,17,41.2,30,38,78.9,7,36,43,23,6,2,13,27,9
145,LAC,LAC @ DAL,03/17/2021,L,240,89,37,88,42.0,9,32,28.1,6,11,54.5,8,29,37,22,12,3,13,15,-16
146,DAL,DAL vs. LAC,03/17/2021,W,240,105,40,79,50.6,15,34,44.1,10,12,83.3,6,37,43,14,7,7,18,16,16
147,MIA,MIA @ MEM,03/17/2021,L,240,85,32,89,36.0,8,34,23.5,13,18,72.2,8,43,51,17,4,2,11,21,-4
148,MEM,MEM vs. MIA,03/17/2021,W,240,89,30,85,35.3,10,42,23.8,19,25,76.0,8,42,50,22,5,4,10,17,4
149,DEN,DEN vs. CHA,03/17/2021,W,240,129,52,90,57.8,16,44,36.4,9,13,69.2,8,40,48,37,12,3,16,22,25
150,CHA,CHA @ DEN,03/17/2021,L,240,104,36,80,45.0,12,38,31.6,20,28,71.4,7,26,33,25,11,1,17,16,-25
151,CLE,CLE vs. BOS,03/17/2021,W,240,117,40,74,54.1,10,23,43.5,27,33,81.8,7,33,40,23,6,3,17,17,7
